"Accuracy","Precision","Sensitivity","Specificity","F1","MCC","AUC","Model","Cohort"
0.772727272727273,0.727272727272727,0.8,0.75,0.761904761904762,0.547722557505166,0.741666666666667,"LogisticRegression","Internal_Test_22"
0.772727272727273,0.727272727272727,0.8,0.75,0.761904761904762,0.547722557505166,0.816666666666667,"RandomForest","Internal_Test_22"
0.727272727272727,0.666666666666667,0.8,0.666666666666667,0.727272727272727,0.466666666666667,0.8,"SVM","Internal_Test_22"
0.727272727272727,1,0.4,1,0.571428571428572,0.516397779494322,0.8375,"XGBoost","Internal_Test_22"
0.719626168224299,0.722222222222222,0.565217391304348,0.836065573770492,0.634146341463415,0.42044978276319,0.737348538845331,"LogisticRegression","FengQ_2015"
0.700934579439252,0.75,0.456521739130435,0.885245901639344,0.567567567567568,0.38493040134294,0.720598717034925,"RandomForest","FengQ_2015"
0.700934579439252,0.684210526315789,0.565217391304348,0.80327868852459,0.619047619047619,0.381206556611546,0.743406985032074,"SVM","FengQ_2015"
0.626168224299065,0.8,0.173913043478261,0.967213114754098,0.285714285714286,0.240029978067634,0.704205274411974,"XGBoost","FengQ_2015"
0.605769230769231,0.617021276595745,0.557692307692308,0.653846153846154,0.585858585858586,0.212523191102177,0.577662721893491,"LogisticRegression","VogtmannE_2016"
0.576923076923077,0.583333333333333,0.538461538461538,0.615384615384615,0.56,0.154303349962092,0.609652366863905,"RandomForest","VogtmannE_2016"
0.596153846153846,0.586206896551724,0.653846153846154,0.538461538461538,0.618181818181818,0.193600773165592,0.607618343195266,"SVM","VogtmannE_2016"
0.567307692307692,0.769230769230769,0.192307692307692,0.942307692307692,0.307692307692308,0.203519331620353,0.659023668639053,"XGBoost","VogtmannE_2016"
