"Package","Version"
"caret","7.0.1"
"dplyr","1.2.1"
"pROC","1.19.0.1"
"Boruta","10.0.0"
"randomForest","4.7.1.2"
"kernlab","0.9.33"
"xgboost","3.2.1.1"
"yardstick","1.4.0"
"curatedMetagenomicData","3.20.0"
"TreeSummarizedExperiment","2.20.0"
