"Specificity","Sensitivity","Threshold"
0,1,-Inf
0.0491803278688525,0.869565217391304,0.412978380918503
0.114754098360656,0.804347826086957,0.418821915984154
0.147540983606557,0.804347826086957,0.425175696611404
0.163934426229508,0.782608695652174,0.42776395380497
0.245901639344262,0.760869565217391,0.428998693823814
0.295081967213115,0.760869565217391,0.430471032857895
0.327868852459016,0.760869565217391,0.431921899318695
0.426229508196721,0.717391304347826,0.432535991072655
0.557377049180328,0.717391304347826,0.432579934597015
0.557377049180328,0.695652173913043,0.435616672039032
0.573770491803279,0.695652173913043,0.440178737044334
0.573770491803279,0.673913043478261,0.443036079406738
0.573770491803279,0.652173913043478,0.445072636008263
0.573770491803279,0.630434782608696,0.446226388216019
0.590163934426229,0.630434782608696,0.446776688098907
0.590163934426229,0.58695652173913,0.448239743709564
0.622950819672131,0.58695652173913,0.449602901935577
0.672131147540984,0.58695652173913,0.449993669986725
0.672131147540984,0.565217391304348,0.450612127780914
0.672131147540984,0.543478260869565,0.452104791998863
0.704918032786885,0.543478260869565,0.454814016819
0.737704918032787,0.543478260869565,0.45663446187973
0.737704918032787,0.521739130434783,0.457851260900497
0.737704918032787,0.5,0.459345251321793
0.737704918032787,0.478260869565217,0.460673376917839
0.737704918032787,0.456521739130435,0.463216587901115
0.786885245901639,0.41304347826087,0.465085178613663
0.819672131147541,0.391304347826087,0.465706557035446
0.836065573770492,0.391304347826087,0.467070996761322
0.836065573770492,0.347826086956522,0.468092694878578
0.836065573770492,0.326086956521739,0.470047444105148
0.852459016393443,0.304347826086957,0.471769139170647
0.868852459016393,0.282608695652174,0.474393650889397
0.885245901639344,0.239130434782609,0.477749824523926
0.918032786885246,0.239130434782609,0.480413094162941
0.918032786885246,0.217391304347826,0.482468575239182
0.918032786885246,0.195652173913043,0.483273521065712
0.934426229508197,0.195652173913043,0.48466557264328
0.934426229508197,0.152173913043478,0.487039804458618
0.934426229508197,0.130434782608696,0.492131814360619
0.967213114754098,0.130434782608696,0.498873665928841
0.983606557377049,0.130434782608696,0.506222307682037
1,0.130434782608696,0.510903000831604
1,0.0869565217391304,0.51209744811058
1,0.0652173913043478,0.518830478191376
1,0.0217391304347826,0.525398910045624
1,0,Inf
