"Specificity","Sensitivity","Threshold"
0,1,-Inf
0.0163934426229508,1,0.0539990501936864
0.0327868852459016,1,0.0620456589140369
0.0491803278688525,1,0.0670725558873653
0.0655737704918033,1,0.0696233785381673
0.0819672131147541,1,0.0725756936723496
0.0983606557377049,1,0.0798700711879012
0.114754098360656,1,0.088218139607949
0.131147540983607,1,0.0922595621415707
0.147540983606557,1,0.0944507045324839
0.163934426229508,1,0.0999560851807912
0.180327868852459,1,0.107107391253719
0.19672131147541,1,0.109097615395701
0.19672131147541,0.978260869565217,0.110263251935093
0.213114754098361,0.978260869565217,0.114756201273937
0.229508196721311,0.978260869565217,0.118758693396583
0.245901639344262,0.978260869565217,0.125633757159005
0.262295081967213,0.978260869565217,0.132100054372681
0.278688524590164,0.978260869565217,0.132850051911453
0.295081967213115,0.978260869565217,0.137934150021949
0.311475409836066,0.978260869565217,0.142980242688962
0.327868852459016,0.978260869565217,0.144606629237558
0.327868852459016,0.956521739130435,0.148960411806815
0.327868852459016,0.934782608695652,0.157173118556277
0.344262295081967,0.934782608695652,0.16376441828854
0.344262295081967,0.91304347826087,0.166262773519592
0.344262295081967,0.891304347826087,0.167757969187719
0.360655737704918,0.891304347826087,0.171463639795746
0.360655737704918,0.869565217391304,0.178994292873847
0.377049180327869,0.869565217391304,0.186492372761157
0.39344262295082,0.869565217391304,0.192529772098682
0.409836065573771,0.869565217391304,0.198485328525318
0.409836065573771,0.847826086956522,0.202019517316781
0.409836065573771,0.826086956521739,0.203936375501517
0.426229508196721,0.826086956521739,0.206049357923181
0.442622950819672,0.826086956521739,0.208655886974993
0.459016393442623,0.826086956521739,0.21148582128924
0.475409836065574,0.826086956521739,0.21507892177153
0.475409836065574,0.804347826086957,0.222175585082709
0.475409836065574,0.782608695652174,0.227729846077443
0.491803278688525,0.782608695652174,0.229915879909245
0.508196721311475,0.782608695652174,0.231497472840244
0.524590163934426,0.782608695652174,0.232268735858501
0.524590163934426,0.760869565217391,0.236017685914535
0.540983606557377,0.760869565217391,0.242834116402384
0.557377049180328,0.760869565217391,0.247900016923856
0.557377049180328,0.739130434782609,0.250785338871975
0.573770491803279,0.739130434782609,0.252116565468809
0.573770491803279,0.717391304347826,0.253614496520275
0.590163934426229,0.717391304347826,0.255904856370601
0.590163934426229,0.695652173913043,0.257359880003446
0.590163934426229,0.673913043478261,0.258764314384748
0.60655737704918,0.673913043478261,0.260885069492645
0.622950819672131,0.673913043478261,0.262233207359862
0.622950819672131,0.652173913043478,0.264879519223946
0.622950819672131,0.630434782608696,0.269156511670017
0.639344262295082,0.630434782608696,0.2715554854712
0.639344262295082,0.608695652173913,0.272511921496768
0.639344262295082,0.58695652173913,0.273700481877969
0.639344262295082,0.565217391304348,0.27650462860317
0.655737704918033,0.565217391304348,0.279773104125248
0.672131147540984,0.565217391304348,0.283241537558484
0.688524590163934,0.565217391304348,0.290369228047061
0.704918032786885,0.565217391304348,0.296389549605488
0.704918032786885,0.543478260869565,0.309208854227957
0.704918032786885,0.521739130434783,0.323237252682233
0.704918032786885,0.5,0.328157110136436
0.704918032786885,0.478260869565217,0.332009631104365
0.721311475409836,0.478260869565217,0.33350692125597
0.737704918032787,0.478260869565217,0.334202839717357
0.754098360655738,0.478260869565217,0.340783461427359
0.770491803278688,0.478260869565217,0.349286490109098
0.786885245901639,0.478260869565217,0.353038074093097
0.786885245901639,0.456521739130435,0.36316424799771
0.786885245901639,0.434782608695652,0.373372786316564
0.786885245901639,0.41304347826087,0.380235679953695
0.786885245901639,0.391304347826087,0.385709891927626
0.80327868852459,0.391304347826087,0.38730409809921
0.819672131147541,0.391304347826087,0.393943472958398
0.836065573770492,0.391304347826087,0.412748521063273
0.836065573770492,0.369565217391304,0.428521130456691
0.836065573770492,0.347826086956522,0.440752287650492
0.852459016393443,0.347826086956522,0.46120057400578
0.852459016393443,0.326086956521739,0.500197456644212
0.852459016393443,0.304347826086957,0.531439271377321
0.852459016393443,0.282608695652174,0.537433969586683
0.852459016393443,0.260869565217391,0.544087137297355
0.868852459016393,0.260869565217391,0.552930114527719
0.868852459016393,0.239130434782609,0.574702544016058
0.885245901639344,0.239130434782609,0.591310665377358
0.885245901639344,0.217391304347826,0.595558794859295
0.901639344262295,0.217391304347826,0.600715182270861
0.918032786885246,0.217391304347826,0.615747498467261
0.918032786885246,0.195652173913043,0.640429456789105
0.934426229508197,0.195652173913043,0.672803079315769
0.950819672131147,0.195652173913043,0.698640379135653
0.950819672131147,0.173913043478261,0.706259141663412
0.950819672131147,0.152173913043478,0.721449680092778
0.950819672131147,0.130434782608696,0.736358359877375
0.967213114754098,0.130434782608696,0.739565826320033
0.983606557377049,0.130434782608696,0.750575765187924
0.983606557377049,0.108695652173913,0.791738716227814
0.983606557377049,0.0869565217391304,0.831713587981993
0.983606557377049,0.0652173913043478,0.853812512219164
0.983606557377049,0.0434782608695652,0.886268570403549
1,0.0434782608695652,0.934103027144771
1,0.0217391304347826,0.963132545758621
1,0,Inf
