"Accuracy","Precision","Sensitivity","Specificity","F1","MCC","AUC","Model","Cohort"
0.772727272727273,0.727272727272727,0.8,0.75,0.761904761904762,0.547722557505166,0.741666666666667,"LogisticRegression","Internal_Test_22"
0.772727272727273,0.727272727272727,0.8,0.75,0.761904761904762,0.547722557505166,0.816666666666667,"RandomForest","Internal_Test_22"
0.727272727272727,0.666666666666667,0.8,0.666666666666667,0.727272727272727,0.466666666666667,0.8,"SVM","Internal_Test_22"
0.727272727272727,1,0.4,1,0.571428571428572,0.516397779494322,0.8375,"XGBoost","Internal_Test_22"
