Model,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyPValue,McNemarPValue,MCC,AUC,Sensitivity,Specificity,Precision,Recall,F1,BalancedAccuracy
Binary Logistic Regression,0.818181818181818,0.633333333333334,0.597154216922129,0.948132700687563,0.00743562327649019,1,0.633333333333333,0.85,0.8,0.8333,0.8,0.8,0.8,0.8167
Binary Random Forest,0.818181818181818,0.633333333333334,0.597154216922129,0.948132700687563,0.00743562327649019,1,0.633333333333333,0.8167,0.8,0.8333,0.8,0.8,0.8,0.8167
Binary SVM,0.727272727272727,0.440677966101695,0.497778798733651,0.892710751629603,0.0649507267560971,0.683091398309609,0.44854261357253,0.7167,0.6,0.8333,0.75,0.6,0.67,0.7167
Binary XGBoost,0.818181818181818,0.633333333333334,0.597154216922129,0.948132700687563,0.00743562327649019,1,0.633333333333333,0.8,0.8,0.8333,0.8,0.8,0.8,0.8167
