Model,Accuracy,Precision,Recall_Sensitivity,Specificity,F1_Score,ROC_AUC,MCC
Logistic Regression (8 features),0.6363636363636364,0.6666666666666666,0.4,0.8333333333333334,0.5,0.7083333333333334,0.2608745973749754
QSVC (8 features),0.5454545454545454,0.5,0.6,0.5,0.5454545454545454,0.6083333333333334,0.1
