,precision,recall,f1-score,support
healthy,0.6,0.5,0.5454545454545454,12.0
CRC,0.5,0.6,0.5454545454545454,10.0
accuracy,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
macro avg,0.55,0.55,0.5454545454545454,22.0
weighted avg,0.5545454545454546,0.5454545454545454,0.5454545454545454,22.0
