Model,Accuracy,Precision,Recall_Sensitivity,Specificity,F1_Score,ROC_AUC,MCC
"Classical SVM (RBF, same 8 features)",0.5909090909090909,0.5714285714285714,0.4,0.75,0.47058823529411764,0.6,
"QSVC (8 qubits, same 8 features)",0.5454545454545454,0.5,0.6,0.5,0.5454545454545454,0.6083333333333334,0.1
