Cohort,Comparison,Model_1,Model_2,N_Paired,AUC_1,AUC_2,AUC_Difference,Z,Raw_P,FDR_Adjusted_P,FDR_Significant_0.05
FengQ_2015,QSVC vs Classical SVM (RBF),QSVC,Classical SVM (RBF),107,0.548111190306486,0.6642908054169637,-0.1161796151104777,-1.6574259638097322,0.0974333857515238,0.0974333857515238,False
FengQ_2015,QSVC vs Logistic Regression,QSVC,Logistic Regression,107,0.548111190306486,0.7263007840342123,-0.17818959372772625,-2.561460321700167,0.0104233146862858,0.0208466293725716,True
VogtmannE_2016,QSVC vs Classical SVM (RBF),QSVC,Classical SVM (RBF),104,0.6142751479289941,0.5776627218934911,0.036612426035502965,0.5543245926376035,0.5793567226435636,0.5793567226435636,False
VogtmannE_2016,QSVC vs Logistic Regression,QSVC,Logistic Regression,104,0.6142751479289941,0.5428994082840237,0.07137573964497035,0.9889007742948106,0.3227116916742867,0.5793567226435636,False
