"Repeat","OuterFold","Model","N_OuterTrain","N_OuterVal","N_Selected_Features","AUC","Accuracy","Sensitivity","Specificity","Precision","F1","MCC"
2,4,"BinaryLogistic",82,10,19,0.6,0.6,0.6,0.6,0.6,0.6,0.2
2,4,"RandomForest",82,10,19,0.68,0.8,0.6,1,1,0.75,0.654653670707977
2,4,"SVM",82,10,19,0.44,0.4,0.4,0.4,0.4,0.4,-0.2
2,4,"XGBoost",82,10,19,0.68,0.7,0.6,0.8,0.75,0.666666666666667,0.408248290463863
2,5,"BinaryLogistic",83,9,15,0.525,0.555555555555556,0.25,0.8,0.5,0.333333333333333,0.0597614304667197
2,5,"RandomForest",83,9,15,0.8,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
2,5,"SVM",83,9,15,0.6,0.555555555555556,0.5,0.6,0.5,0.5,0.1
2,5,"XGBoost",83,9,15,0.6,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
2,6,"BinaryLogistic",83,9,19,0.875,0.888888888888889,0.75,1,1,0.857142857142857,0.790569415042095
2,6,"RandomForest",83,9,19,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
2,6,"SVM",83,9,19,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
2,6,"XGBoost",83,9,19,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
2,7,"BinaryLogistic",83,9,21,0.775,0.777777777777778,0.75,0.8,0.75,0.75,0.55
2,7,"RandomForest",83,9,21,0.45,0.666666666666667,0.25,1,1,0.4,0.395284707521047
2,7,"SVM",83,9,21,0.8,0.555555555555556,0,1,NA,NA,NA
2,7,"XGBoost",83,9,21,0.6,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
2,8,"BinaryLogistic",82,10,16,0.4,0.4,0.2,0.6,0.333333333333333,0.25,-0.218217890235992
2,8,"RandomForest",82,10,16,0.68,0.6,0.4,0.8,0.666666666666667,0.5,0.218217890235992
2,8,"SVM",82,10,16,0.44,0.5,0.4,0.6,0.5,0.444444444444444,0
2,8,"XGBoost",82,10,16,0.56,0.7,0.6,0.8,0.75,0.666666666666667,0.408248290463863
2,9,"BinaryLogistic",82,10,16,0.96,0.8,1,0.6,0.714285714285714,0.833333333333333,0.654653670707977
2,9,"RandomForest",82,10,16,0.92,0.8,1,0.6,0.714285714285714,0.833333333333333,0.654653670707977
2,9,"SVM",82,10,16,0.84,0.7,0.8,0.6,0.666666666666667,0.727272727272727,0.408248290463863
2,9,"XGBoost",82,10,16,0.96,0.9,1,0.8,0.833333333333333,0.909090909090909,0.816496580927726
2,10,"BinaryLogistic",84,8,14,0.875,0.875,0.75,1,1,0.857142857142857,0.774596669241483
2,10,"RandomForest",84,8,14,0.6875,0.75,0.5,1,1,0.666666666666667,0.577350269189626
2,10,"SVM",84,8,14,0.875,0.875,0.75,1,1,0.857142857142857,0.774596669241483
2,10,"XGBoost",84,8,14,0.875,0.75,0.5,1,1,0.666666666666667,0.577350269189626
3,1,"BinaryLogistic",83,9,14,0.35,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
3,1,"RandomForest",83,9,14,0.75,0.777777777777778,0.75,0.8,0.75,0.75,0.55
3,1,"SVM",83,9,14,0.75,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
3,1,"XGBoost",83,9,14,0.7,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
3,2,"BinaryLogistic",83,9,17,0.7,0.666666666666667,1,0.4,0.571428571428571,0.727272727272727,0.478091443733757
3,2,"RandomForest",83,9,17,0.575,0.555555555555556,0.25,0.8,0.5,0.333333333333333,0.0597614304667197
3,2,"SVM",83,9,17,0.75,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
3,2,"XGBoost",83,9,17,0.45,0.555555555555556,0.5,0.6,0.5,0.5,0.1
3,3,"BinaryLogistic",83,9,13,0.675,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
3,3,"RandomForest",83,9,13,0.7,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
3,3,"SVM",83,9,13,0.55,0.444444444444444,0.75,0.2,0.428571428571429,0.545454545454545,-0.0597614304667197
3,3,"XGBoost",83,9,13,0.35,0.444444444444444,0.5,0.4,0.4,0.444444444444444,-0.1
3,4,"BinaryLogistic",82,10,18,0.8,0.8,0.8,0.8,0.8,0.8,0.6
3,4,"RandomForest",82,10,18,0.92,0.8,0.8,0.8,0.8,0.8,0.6
3,4,"SVM",82,10,18,0.8,0.7,0.8,0.6,0.666666666666667,0.727272727272727,0.408248290463863
3,4,"XGBoost",82,10,18,0.76,0.6,0.8,0.4,0.571428571428571,0.666666666666667,0.218217890235992
3,5,"BinaryLogistic",83,9,15,0.625,0.666666666666667,0.25,1,1,0.4,0.395284707521047
3,5,"RandomForest",83,9,15,0.875,0.666666666666667,0.25,1,1,0.4,0.395284707521047
3,5,"SVM",83,9,15,0.65,0.555555555555556,0.25,0.8,0.5,0.333333333333333,0.0597614304667197
