"Model","N_Outer_Evaluations","Mean_AUC","SD_AUC","Mean_Accuracy","SD_Accuracy","Mean_Sensitivity","Mean_Specificity","Mean_Precision","Mean_F1","Mean_MCC"
"BinaryLogistic",50,0.719225,0.164834272444929,0.687833333333333,0.147485528027587,0.662,0.715,0.698809523809524,0.652757575757576,0.40057258507191
"RandomForest",50,0.80395,0.158611714638006,0.741111111111111,0.130872991808405,0.642,0.831,0.808380952380952,0.677704184704185,0.50974349026088
"SVM",50,0.7007,0.158533650583549,0.621611111111111,0.155572045206345,0.597,0.647,0.613168124392614,0.59060576611597,0.261064548116992
"XGBoost",50,0.73275,0.166322966188175,0.685722222222222,0.150697557101306,0.634,0.734,0.707904761904762,0.647878787878788,0.38391152418716
