"Alpha","Lambda","Evaluation_1","Evaluation_2","Evaluation_3","Evaluation_4","Evaluation_5","Evaluation_6","Evaluation_7","Evaluation_8","Evaluation_9","Evaluation_10","Evaluation_11","Evaluation_12","Evaluation_13","Evaluation_14","Evaluation_15","Evaluation_16","Evaluation_17","Evaluation_18","Evaluation_19","Evaluation_20","Evaluation_21","Evaluation_22","Evaluation_23","Evaluation_24","Evaluation_25","Evaluation_26","Evaluation_27","Evaluation_28","Evaluation_29","Evaluation_30","Evaluation_31","Evaluation_32","Evaluation_33","Evaluation_34","Evaluation_35","Evaluation_36","Evaluation_37","Evaluation_38","Evaluation_39","Evaluation_40","Evaluation_41","Evaluation_42","Evaluation_43","Evaluation_44","Evaluation_45","Evaluation_46","Evaluation_47","Evaluation_48","Evaluation_49","Evaluation_50"
0,5.76640261042476,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,5.25413129538617,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,4.78736875209671,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,4.36207210670161,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,3.97455764311674,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,3.62146889644213,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,3.29974758086873,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,3.00660710026977,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,2.7395084120382,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.8,1,1,1,0.7,0.9375,1,0.88,0.8
0,2.4961380351143,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.75,1,1,1,0.7,0.9375,1,0.88,0.8
0,2.27438801171944,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.75,1,1,1,0.7,0.9375,1,0.88,0.8
0,2.07233764923432,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.75,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.88823688407823,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.75,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.72049112349565,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.88,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.56764743395653,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.88,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.4283819565412,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.88,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.30148844030772,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.88,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.18586779432323,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.88,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,1.08051856786415,0.95,0.65,1,0.88,0.8,0.88,1,0.8,0.85,0.8,0.75,1,0.8,0.8,1,0.75,0.88,0.92,0.875,0.88,0.85,0.92,0.875,0.88,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.8,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
