"Alpha","Lambda","Evaluation_1","Evaluation_2","Evaluation_3","Evaluation_4","Evaluation_5","Evaluation_6","Evaluation_7","Evaluation_8","Evaluation_9","Evaluation_10","Evaluation_11","Evaluation_12","Evaluation_13","Evaluation_14","Evaluation_15","Evaluation_16","Evaluation_17","Evaluation_18","Evaluation_19","Evaluation_20","Evaluation_21","Evaluation_22","Evaluation_23","Evaluation_24","Evaluation_25","Evaluation_26","Evaluation_27","Evaluation_28","Evaluation_29","Evaluation_30","Evaluation_31","Evaluation_32","Evaluation_33","Evaluation_34","Evaluation_35","Evaluation_36","Evaluation_37","Evaluation_38","Evaluation_39","Evaluation_40","Evaluation_41","Evaluation_42","Evaluation_43","Evaluation_44","Evaluation_45","Evaluation_46","Evaluation_47","Evaluation_48","Evaluation_49","Evaluation_50"
0,37.0668576035095,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,33.7739401345541,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,30.7735563778798,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,28.0397184447444,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,25.5487471388156,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,23.279066858301,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,21.2110187184062,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,19.3266902754803,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,17.609760377997,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,16.0453578005491,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,14.6199324364075,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,13.3211379329793,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,12.137724753608,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,11.0594427394687,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,10.0769523275957,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,9.1817436560565,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,8.36606285559835,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,7.62284488934241,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,6.9456523588141,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,6.32861974627711,0.95,0.65,1,0.88,0.85,0.88,1,0.8,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
