"Metric","Lower_95_CI","Upper_95_CI"
"Accuracy",0.590909090909091,0.954545454545455
"Precision",0.428571428571429,1
"Sensitivity",0.5,1
"Specificity",0.466538461538462,1
"F1",0.5,0.941176470588235
"MCC",0.161904761904762,0.908513525158996
"AUC",0.514249084249084,0.980952380952381
