"Metric","Lower_95_CI","Upper_95_CI"
"Accuracy",0.5,0.863636363636364
"Precision",0.428571428571429,0.9
"Sensitivity",0.3,0.9
"Specificity",0.5,0.916666666666667
"F1",0.352941176470588,0.842105263157895
"MCC",-0.0356348322549899,0.730296743340221
"AUC",0.449791666666667,0.925
